title,id,description,brand,color,material,price,availability,product_type,google_product_category,image_link,additional_image_link,link,age_group,gender
Classic Leather Credit Card Holder,RRCH-CBK,"The Rich Roots Classic Leather Credit Card Holder is crafted entirely in 100% Calfskin, and accented with the Rich Roots pomegranate logo in metallic silver. The card holder features a center slip with 2 card slots on each side, allowing to hold up to 5 credit cards.",Rich Roots,Black,leather,78.00 USD,in stock,Leather Accessories > Cardholders & Keychains > Cardholders,2668,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589935586-93149YSCMIHFS32GIHSI/Rich-Roots-Card-Holder-RRCH-CBLK-Front+View.jpg https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589935538-TEQL899U1AN5VO1ETDH9/Rich-Roots-Card-Holder-RRCH-CBLK-Back+View.jpg,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589935538-TEQL899U1AN5VO1ETDH9/Rich-Roots-Card-Holder-RRCH-CBLK-Back+View.jpg,https://www.richroots.co/store/p/classic-leather-card-holder,Adult,unisex
Organizer 2.0,RRO2-SBLK,"The Organizer 2.0 Briefcase is perfect for your laptop, files, and tablets. Given enough room for a slim finish. Ideal for the freelancers and pros.",Rich Roots,Black,leather,280.00 USD,in stock,Handbags > Organizers,100,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589773404-QMISK0HGBAK7TLENP0VF/Rich-Roots-Organizer-20-RRO2-SBLK-Front+View.jpg ,"https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589773788-GVG5GP8JVXB9A1NYQZ3X/Rich-Roots-Organizer-20-RRO2-SBLK-Quarter+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589772272-V1Q086RWVY69CJCY0BM5/Rich-Roots-Organizer-20-RRO2-SBLK-Back+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589773305-R7T8OWY4RXGVSJI1L0AX/Rich-Roots-Organizer-20-RRO2-SBLK-Side+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589772518-F0FPYF6GZSE9SMOZ3WXK/Rich-Roots-Organizer-20-RRO2-SBLK-Bottom+View+2.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589773762-QYTX4S5GS5CHYJEAVAVB/Rich-Roots-Organizer-20-RRO2-SBLK-Bottom+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589775004-6X46AA2VLXAFMT6XRCRC/Rich-Roots-Organizer-20-RRO2-SBLK-Handle+Detail+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589773916-Q7BBGB2QE6UNUJS0F369/Rich-Roots-Organizer-20-RRO2-SBLK-Handle+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589774993-YFD9OOPU6XQXP444KJGT/Rich-Roots-Organizer-20-RRO2-SBLK-Logo+View.jpg,",https://www.richroots.co/store/p/organizer-20,Adult,unisex
Black Saffiano Micro Pouch,RRMP-SBLK,"The Micro Pouch is perfect for anyone with an “on-the-go” lifestyle. The wristlet can hold your phone, card holders, and a few of your other favorite essentials.",Rich Roots,Black,leather,120.00 USD,in stock,Handbags > Document & Essential Pouches,6552,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590164282-ZVGMLCU3WHXUXTEPOY1B/Rich-Roots-Micro-Pouch-RRMP-SBLK-Front+View.jpg,"https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590164774-6Y6HNT22S06NUT49KRP6/Rich-Roots-Micro-Pouch-RRMP-SBLK-Flat+Front+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590165524-SS0EMV5E9Z5AJ0F78M6X/Rich-Roots-Micro-Pouch-RRMP-SBLK-Wristlet+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590163387-UX21G8LIR3ETXCEAKDA5/Rich-Roots-Micro-Pouch-RRMP-SBLK-Flat+Back+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590165498-W46JHZRSKFVG59BMCPAA/Rich-Roots-Micro-Pouch-RRMP-SBLK-Front+Zipper+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590165038-9MP6L2WS2PZCR6PHNR5J/Rich-Roots-Micro-Pouch-RRMP-SBLK-Open+Front+Zipper+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590164985-87QBGTGTJU9W4BHYE0A2/Rich-Roots-Micro-Pouch-RRMP-SBLK-Inside+Open+Zipper+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590165517-A0LCMK7WUNGM7NN2ZS68/Rich-Roots-Micro-Pouch-RRMP-SBLK-Logo+Front+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590164662-CLJ4JPLEPPXNVKPSJ91C/Rich-Roots-Micro-Pouch-RRMP-SBLK-Open+Top+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590163108-K5MSCK53VELAN0JWB3VX/Rich-Roots-Micro-Pouch-RRMP-SBLK-Back+View.jpg",https://www.richroots.co/store/p/black-saffiano-micro-pouch,Adult,unisex
Metallic Saffiano Micro Bag,RRMHB-SMT,"The Micro’s contemporary design and organized interior makes this handbag your go-to everyday bag. It can be draped on the shoulder, worn cross-body, or even carried by hand by doubling the leather handles with its chain.",Rich Roots,Silver,leather,360.00 USD,out of stock,Handbags > Micro Bags,3032,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590076661-W90NWD81C1LJZ5OJIXBD/Rich-Roots-Micro-Bag-RRMB-SSLV-Front+View.jpg,"https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590076698-C7E16F8ZCUPKAF1IB8F5/Rich-Roots-Micro-Bag-RRMB-SSLV-Quarter+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590076684-EP7T3II7YUBF9VZ1XXYF/Rich-Roots-Micro-Bag-RRMB-SSLV-Strap+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590075950-9Z8IACCRAOQ9QAWC4C1N/Rich-Roots-Micro-Bag-RRMB-SSLV-Chain+Strap+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590076718-YU21V50EGF1IK8EFMN11/Rich-Roots-Micro-Bag-RRMB-SSLV-Chain+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590077110-D80GLP7S1E8MI6PCOS3E/Rich-Roots-Micro-Bag-RRMB-SSLV-Logo+View.jpg",https://www.richroots.co/store/p/metallic-saffiano-micro-bag,Adult,female
Saffiano Leather Credit Card Holder,RRCH-SBK,"The Rich Roots Saffiano Leather Credit Card Holder is crafted entirely in 100% Calfskin, and accented with the Rich Roots pomegranate logo in metallic silver. The card holder features a center slip with 2 card slots on each side, allowing to hold up to 5 credit cards.",Rich Roots,Black,leather,78.00 USD,in stock,Leather Accessories > Cardholders & Keychains > Cardholders,2668,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589694031-TVYXW5I74P2Y6RN3VJEW/Rich-Roots-Card-Holder-RRCH-SBLK-Front+View.jpg,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589693792-07I3W2XEQ94WK27A1JVS/Rich-Roots-Card-Holder-RRCH-SBLK-Back+View.jpg,https://www.richroots.co/store/p/saffiano-card-holder,Adult,unisex
Matte Crocodile Pattern Document Pouch,RRDP-CRBK,"The Document Pouch is perfect for your laptop, files, and tablets. Given enough room for slim finish.",Rich Roots,Black,leather,180.00 USD,in stock,Handbags > Document & Essential Pouches,6552,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590228124-3DZ2II7NEF8NXDKL3Y2U/Rich-Roots-Document-Pouch-RRDP-MCPBLK-Front+View.jpg,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590228155-T0WXUPN56LGO978FHZFY/Rich-Roots-Document-Pouch-RRDP-MCPBLK-Quarter+View.jpg,https://www.richroots.co/store/p/matte-crocodile-pattern-document-pouch,Adult,unisex
"iPad Pro 9.7"" Sleeve - Matte Crocodile Pattern Leather",RRTSI-97MCPBLK,"Created specially for the iPad Pro, the Croc Sleeve is designed to keep your iPad safe and stylish during any distance of travel.",Rich Roots,Black,leather,98.00 USD,out of stock,Leather Accessories > Tech Sleeves,6552,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589978712-D3MGLZGURXPNZV5J9UIW/Rich-Roots-iPad-Pro-RRTSI-97MCPBLK-Front+View.jpg,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589978430-G2DCCCOQ6HVM0CRBEJDA/Rich-Roots-iPad-Pro-RRTSI-97MCPBLK-Quarter+View.jpg,https://www.richroots.co/store/p/ipadpro97-sleeve-matte-croc,Adult,unisex
Black Saffiano Micro Bag,RRMB-SBLK,"The Micro’s contemporary design and organized interior makes this handbag your go-to everyday bag. It can be draped on the shoulder, worn cross-body, or even carried by hand by doubling the leather handles with its chain.",Rich Roots,Black,leather,360.00 USD,out of stock,Handbags > Micro Bags,3032,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590017599-0VQIQJT4TWJJNQYHUNRE/Rich-Roots-Micro-Bag-RRMB-SBLK-Front+View.jpg,"https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590017613-LC00VLW1O2FKENAPJV60/Rich-Roots-Micro-Bag-RRMB-SBLK-Side+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590017140-PVSSLAG1XO9A123HCHAV/Rich-Roots-Micro-Bag-RRMB-SBLK-Detail+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590017448-X9XXD5BP8N6U7UF6M8V3/Rich-Roots-Micro-Bag-RRMB-SBLK-Strap+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590017592-VWGYWOKBNAN8U6FQQ3QJ/Rich-Roots-Micro-Bag-RRMB-SBLK-Logo+View.jpg",https://www.richroots.co/store/p/black-saffiano-micro-bag,Adult,female
Ox Blood Saffiano Micro Bag,RRMB-SOXB,"The Micro’s contemporary design and organized interior makes this handbag your go-to everyday bag. It can be draped on the shoulder, worn cross-body, or even carried by hand by doubling the leather handles with its chain.",Rich Roots,Ox Blood,leather,360.00 USD,out of stock,Handbags > Micro Bags,3032,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589882693-QEV0OAFNEMZSF5QAHUHB/Rich-Roots-Micro-Bag-RRMB-SOXB-Front+View.jpg,"https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589882663-2GFBVW9V6KWZQNVG6CSD/Rich-Roots-Micro-Bag-RRMB-SOXB-Logo+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589882143-YQ89S6DVFY6AH6GKRZAZ/Rich-Roots-Micro-Bag-RRMB-SOXB-Chain+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636589882481-4R85B7FXCNCVS3ONYP0Z/Rich-Roots-Micro-Bag-RRMB-SOXB-Handle+View.jpg",https://www.richroots.co/store/p/oxblood-saffiano-micro-bag,Adult,female
Kav Saffiano Micro Pouch,RRMP-SKAV,"The Micro Pouch is perfect for anyone with an “on-the-go” lifestyle. The wristlet can hold your phone, card holders, and a few of your other favorite essentials.",Rich Roots,Kav,leather,120.00 USD,in stock,Handbags > Document & Essential Pouches,6552,https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590289798-PD8V9ZLR4YKFF0LF2PRM/Rich-Roots-Micro-Pouch-RRMP-SKAV-Front+View.jpg,"https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590254229-5UALQWZ1VAHR3U81S9X1/Rich-Roots-Micro-Pouch-RRMP-SKAV-Back+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590255074-G6U0AOU6IDS4FGXP7VA2/Rich-Roots-Micro-Pouch-RRMP-SKAV-Logo+Front+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590254651-4WBZWH8WOPRZ11LJ9EYO/Rich-Roots-Micro-Pouch-RRMP-SKAV-Open+Front+Zipper+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590254810-M76FX61PHLG70ZWIUKDV/Rich-Roots-Micro-Pouch-RRMP-SKAV-Open+Top+View.jpg, https://images.squarespace-cdn.com/content/v1/615263462cdedc1a6acc8ce6/1636590254449-9QTJ3B72VLSHIIH30LG2/Rich-Roots-Micro-Pouch-RRMP-SKAV-Wristlet+View.jpg,",https://www.richroots.co/store/p/kav-saffiano-micro-pouch,Adult,unisex
